id,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement
395,36.1,25,5.2,4.7,172.7,0.17,4.6,80.1
396,33.5,17,4.7,1.8,82.6,0.147,1.9,26.2
397,31.3,14.3,3,8.5,129.7,0.164,3,48.2
398,21.5,9.1,2.5,1.9,19.5,0.08,-0.4,4.8
399,27.1,13.2,7.2,1.4,66,0.116,0.3,15.6
400,16.1,7.6,2.8,0.7,6.4,0.05,-2.7,-1
401,17.5,5.2,2.6,1.1,13.7,0.064,-1.7,0.8
402,27.2,13,7.3,1.1,66.3,0.139,-0.2,10.2
403,6.1,2.9,0.6,0.3,-0.3,-0.175,-10.9,-0.2
404,16.9,4.8,3.5,0.4,1.7,0.035,-3.7,-1
405,4.1,1.5,0.7,0.2,0.2,0.058,-3.8,-0.1
406,25.4,8.3,2.1,3,62.3,0.091,-0.9,8.9
407,11.5,4.7,2.2,0.6,2,0.1,-1.6,0.1
408,21.7,6.6,6.4,0.8,37.9,0.143,0.3,7.4
409,10.8,3.7,1.6,0.8,1.7,0.076,-0.8,0.3
410,7.1,3.4,1.9,0.4,-0.8,-0.074,-7.9,-0.8
411,12.3,3.4,3.1,0.6,7.9,0.083,-3,-1.1
412,19.6,7.4,4.4,0.6,23.1,0.08,-3.4,-4.9
413,13.2,3.3,2.8,0.6,2.1,0.067,-3.8,-0.7
414,,,,,,,,
415,17.2,5.1,2,2.8,10,0.063,-1.4,1.2
416,,,,,,,,
417,,,,,,,,
418,,,,,,,,
419,27.7,9.4,2,4.4,23.1,0.07,-2.1,-0.3
420,7.7,2.2,1.7,0.2,0.2,0.031,-6.5,-0.3
421,,,,,,,,
422,,,,,,,,
423,7.7,2.1,1.1,0.3,0,-0.014,-5.7,-0.1
424,13.2,3.8,1.4,2,2.3,0.041,-2.5,-0.3
425,3.9,1.4,1.3,0.1,0.1,0.04,-5.5,-0.1
426,16.5,6.2,4.1,0.8,26.5,0.095,-2.1,-0.4
427,,,,,,,,
428,8.5,3.4,0.8,0.9,0.3,0.066,-2.6,0
429,,,,,,,,
430,21.5,4.5,7.1,0.7,8.2,0.091,-2.7,-0.7
431,8.5,1.8,1.9,0.3,0.5,0.024,-4.7,-0.7
432,,,,,,,,
433,14.4,4.6,1.5,1.4,-0.1,-0.003,-4,-0.6
434,10.7,1.9,1.7,0.4,1.3,0.038,-4.3,-0.9
435,3.7,1.4,1.1,0.2,0,0.043,-3.7,0
436,22.2,7.4,3.1,1.4,23.6,0.071,-1.3,3
437,,,,,,,,
438,9.2,2.1,0.8,1.1,0.6,0.032,-2.5,-0.1
439,10,2.2,1.1,1.9,0.6,0.051,-3.5,-0.2
440,,,,,,,,
441,34,19,10.8,3,206.4,0.209,5.6,91.1
442,31.6,16,6.8,1.6,41.7,0.11,0.1,9.6
443,31.6,15.2,2.9,5.4,120.8,0.176,3.2,43.5
444,22.6,7.6,1.8,3.4,47,0.115,0,10.1
445,21.1,6.1,5.1,0.6,36.4,0.099,-1.8,0.8
446,31.1,13.6,3.1,2.1,9.4,0.034,-2.7,-2.5
447,25.9,11.5,4.1,1.5,35.2,0.079,-0.8,6.4
448,17.8,4.1,4.7,0.5,18.7,0.069,-1.7,1.1
